ACTION_CONTRACT   ACTION_CONTRACT_BI;
HTLROOMS   HTLROOMMAPS_BEFORE_DELETE;HOTELS_AFTERDELETE;HOTELS_BEFOREUPDATE;HTLBUILDS_AFTER_UPDATE;HTLBUILDS_CHECK_DELETE;HTLROOMS_CHECK_DELETE;ROOMTYPES_CHECK_DELETE;HTLROOMSTRIGGER1;ROOMEXPANDNAMES_BD0;HOTELS_AFTERINSERT;HTLROOMS_BIU0;
HTLROOMVARIANTS   HTLROOMS_AFTER_DELETE;HTLROOMVARIANTS_BI;
HTLROOMVIEWS   HTLROOMVIEWSTRIGGER1;HTLROOMS_AFTER_INSERT;HTLROOMS_AFTER_DELETE;
HTLSERVLNK   HOTELS_AFTERDELETE;SERVICES_CHECK_DELETE;CURRENCY_CHECK_DELETE;SERVICES_AFTER_UPDATE;HTLSERVLNKTRIGGER1;
HTLVENDORS   CHECK_81;CHECK_82;HOTELS_AFTERDELETE;HTLVENDORSTRIGGER1;COMPANIES_CHECK_DELETE;EXCVENDORS_CHECK_DELETE;HTLVENDORS_CHECK_DELETE;
IMPORTHOTELLOG   IMPORTHOTELLOG_BI;
INFRAIMAGES   INFRAIMAGES_AI0;INFRAIMAGES_AU0;INFRAIMAGES_BI;INFRAIMAGES_BI0;INFRAIMAGES_BU0;
INFRASTRUCTURES   INFRASTRUCTURES_BI;INFRATYPELINKS_BD0;OBJECTLINKS_AD0;
INFRATYPELINKS   INFRATYPELINKS_BI;INFRATYPEGROUPS_BD0;INFRATYPELINKS_AD0;INFRATYPES_AD0;
INFRATYPES   INFRATYPES_BI;INFRATYPELINKS_AD0;
INSPOLICEREPS   INSPOLICEREPSTRIGGER1;
INSURECOEFFICIENT   INSURECOEFFICIENT_BI;
INSUREPOLICES   INSUREPOLICESTRIGGER1;COMPANIES_CHECK_DELETE;TMUSERS_CHECK_DELETE;
INSUREPROGRAM   INSUREPROGRAM_BI;
INSURERATES   INSURERATES_BI;
INSUREVALUES   INSUREVALUESTRIGGER1;CURRENCY_CHECK_DELETE;COMPANIES_CHECK_DELETE;
INSURE_KINDS   INSURE_KINDS_BI;
INTERESTKIND   INTERESTKIND_BI;
INTERESTS   COMPANIES_CHECK_DELETE;INTERESTSTRIGGER1;TOURINTERESTS_BI;CITIEST_CHECK_DELETE;COUNTRIES_CHECK_DELETE;
INTERESTTYPE   INTERESTTYPE_BI;
INTERNACIONAL_ORG   INTERNACIONAL_ORG_BI;INTERNACIONAL_ORG_LNG_BI;
INTERNACIONAL_ORG_LNG   INTERNACIONAL_ORG_LNG_BI;
